,source_TD_label,source_Network,source_coordX,source_coordY,source_coordZ,target_TD_label,target_Network,target_coordX,target_coordY,target_coordZ,value
0,SFG,CON,20,-8,64,mFG,CON,-4,4,52,0.65
1,SFG,CON,20,-8,64,IPL,CON,56,-28,32,0.63
2,MTG,DMN,-40,-76,24,mFG,CON,-4,4,52,0.73
3,MTG,DMN,-40,-76,24,IPL,CON,56,-28,32,0.73
4,MTG,DMN,-40,-76,24,SFG,CON,20,-8,64,0.66
5,MTG,DMN,-40,-76,24,LN,CON,36,0,-4,0.61
6,mFG,DMN,4,68,-4,Insula,Auditory,64,-32,20,0.62
7,mFG,DMN,4,68,-4,mFG,CON,-4,4,52,0.67
8,mFG,DMN,4,68,-4,IPL,CON,56,-28,32,0.66
9,mFG,DMN,4,68,-4,SFG,CON,20,-8,64,0.69
10,mFG,DMN,4,68,-4,MTG,DMN,-40,-76,24,0.74
11,mFG,DMN,8,48,-16,Insula,Auditory,32,-28,12,0.66
12,mFG,DMN,8,48,-16,Insula,Auditory,64,-32,20,0.69
13,mFG,DMN,8,48,-16,Transverse Temporal,Auditory,56,-16,8,0.63
14,mFG,DMN,8,48,-16,STG,Auditory,-60,-24,12,0.63
15,mFG,DMN,8,48,-16,STG,Auditory,-48,-28,4,0.67
16,mFG,DMN,8,48,-16,Insula,Auditory,-52,-20,24,0.63
17,mFG,DMN,8,48,-16,PreCent,Auditory,56,-4,12,0.65
18,mFG,DMN,8,48,-16,PostCent,Auditory,60,-16,28,0.7
19,mFG,DMN,8,48,-16,mFG,CON,-4,4,52,0.67
20,mFG,DMN,8,48,-16,IPL,CON,56,-28,32,0.71
21,mFG,DMN,8,48,-16,SFG,CON,20,-8,64,0.69
22,mFG,DMN,8,48,-16,SFG,CON,-16,-4,72,0.75
23,mFG,DMN,8,48,-16,CG,CON,-12,-4,44,0.66
24,mFG,DMN,8,48,-16,LN,CON,36,0,-4,0.69
25,mFG,DMN,8,48,-16,SFG,CON,12,0,68,0.62
26,mFG,DMN,8,48,-16,mFG,CON,8,8,52,0.68
27,mFG,DMN,8,48,-16,Insula,CON,-44,0,8,0.66
28,mFG,DMN,8,48,-16,MTG,DMN,-40,-76,24,0.66
29,mFG,DMN,8,48,-16,mFG,DMN,4,68,-4,0.65
30,PHG,DMN,-12,-40,0,Insula,Auditory,32,-28,12,0.62
31,PHG,DMN,-12,-40,0,Insula,Auditory,64,-32,20,0.67
32,PHG,DMN,-12,-40,0,STG,Auditory,-60,-24,12,0.63
33,PHG,DMN,-12,-40,0,STG,Auditory,-48,-28,4,0.71
